case,event,startTime,completeTime
r2_70,Reject application,39:17.0,39:17.0
r2_70,Loan application rejected,39:17.0,39:17.0
r2_34,Loan  application received,00:00.0,00:00.0
r2_34,Check  application  form completeness,39:36.7,39:36.7
r2_34,Appraise property,49:03.9,49:03.9
r2_34,Check credit history,10:59.1,10:59.1
r2_34,Assess loan risk,27:55.5,27:55.5
r2_34,Assess eligibility,56:28.6,56:28.6
r2_34,Reject application,07:08.8,07:08.8
r2_34,Loan application rejected,07:08.8,07:08.8
r2_247,Loan  application received,30:00.0,30:00.0
r2_247,Check  application  form completeness,48:51.5,48:51.5
r2_247,Appraise property,52:10.4,52:10.4
r2_247,Check credit history,55:51.5,55:51.5
r2_247,Assess loan risk,38:18.1,38:18.1
r2_247,Assess eligibility,41:50.6,41:50.6
r2_247,Prepare acceptance pack,14:38.2,14:38.2
r2_247,Check if home insurance quote is requested,47:42.3,47:42.3
r2_247,Send home insurance quote,58:01.0,58:01.0
r2_247,Verify repayment agreement,50:47.6,50:47.6
r2_247,Approve application,54:23.2,54:23.2
r2_247,Loan  application approved,54:23.2,54:23.2
r2_460,Loan  application received,00:00.0,00:00.0
r2_460,Check  application  form completeness,03:31.4,03:31.4
r2_460,Check credit history,14:22.9,14:22.9
r2_460,Assess loan risk,37:09.7,37:09.7
r2_460,Appraise property,47:19.6,47:19.6
r2_460,Assess eligibility,01:28.5,01:28.5
r2_460,Reject application,07:34.2,07:34.2
r2_460,Loan application rejected,07:34.2,07:34.2
r2_60,Loan  application received,00:00.0,00:00.0
r2_60,Check  application  form completeness,40:44.7,40:44.7
r2_60,Check credit history,43:17.3,43:17.3
r2_60,Assess loan risk,01:31.5,01:31.5
r2_60,Appraise property,41:34.7,41:34.7
r2_60,Assess eligibility,42:21.5,42:21.5
r2_60,Prepare acceptance pack,46:00.0,46:00.0
r2_60,Check if home insurance quote is requested,57:42.7,57:42.7
r2_60,Send home insurance quote,05:27.8,05:27.8
r2_60,Verify repayment agreement,57:33.4,57:33.4
r2_60,Cancel application,59:44.6,59:44.6
r2_60,Loan  application canceled,59:44.6,59:44.6
r2_454,Loan  application received,00:00.0,00:00.0
r2_454,Check  application  form completeness,16:02.7,16:02.7
r2_454,Appraise property,23:03.3,23:03.3
r2_454,Check credit history,16:42.5,16:42.5
r2_454,Assess loan risk,34:36.5,34:36.5
r2_454,Assess eligibility,49:13.5,49:13.5
r2_454,Reject application,09:34.2,09:34.2
r2_454,Loan application rejected,09:34.2,09:34.2
r2_365,Loan  application received,30:00.0,30:00.0
r2_365,Check  application  form completeness,32:13.5,32:13.5
r2_365,Check credit history,48:29.0,48:29.0
r2_365,Appraise property,49:58.8,49:58.8
r2_365,Assess loan risk,01:14.2,01:14.2
r2_365,Assess eligibility,07:28.3,07:28.3
r2_365,Prepare acceptance pack,16:29.6,16:29.6
r2_365,Check if home insurance quote is requested,18:05.4,18:05.4
r2_365,Send acceptance pack,27:47.5,27:47.5
r2_365,Verify repayment agreement,53:19.2,53:19.2
r2_365,Approve application,59:59.6,59:59.6
r2_365,Loan  application approved,59:59.6,59:59.6
r2_430,Loan  application received,00:00.0,00:00.0
r2_430,Check  application  form completeness,04:53.8,04:53.8
r2_430,Appraise property,16:02.9,16:02.9
r2_430,Check credit history,42:33.7,42:33.7
r2_430,Assess loan risk,43:46.3,43:46.3
r2_430,Assess eligibility,59:29.0,59:29.0
r2_430,Prepare acceptance pack,01:44.4,01:44.4
r2_430,Check if home insurance quote is requested,18:37.7,18:37.7
r2_430,Send acceptance pack,54:14.4,54:14.4
r2_430,Verify repayment agreement,21:22.1,21:22.1
r2_430,Cancel application,51:05.0,51:05.0
r2_430,Loan  application canceled,51:05.0,51:05.0
r2_418,Loan  application received,00:00.0,00:00.0
r2_418,Check  application  form completeness,24:00.8,24:00.8
r2_418,Appraise property,44:11.8,44:11.8
r2_418,Check credit history,41:51.5,41:51.5
r2_418,Assess loan risk,12:18.0,12:18.0
r2_418,Assess eligibility,13:59.7,13:59.7
r2_418,Prepare acceptance pack,56:08.1,56:08.1
r2_418,Check if home insurance quote is requested,09:04.5,09:04.5
r2_418,Send acceptance pack,20:08.6,20:08.6
r2_418,Verify repayment agreement,20:42.8,20:42.8
r2_418,Cancel application,44:35.8,44:35.8
r2_418,Loan  application canceled,44:35.8,44:35.8
r2_383,Loan  application received,30:00.0,30:00.0
r2_383,Check  application  form completeness,01:08.4,01:08.4
r2_383,Appraise property,10:20.7,10:20.7
r2_383,Check credit history,17:15.7,17:15.7
r2_383,Assess loan risk,34:42.7,34:42.7
r2_383,Assess eligibility,25:46.3,25:46.3
r2_383,Reject application,50:32.6,50:32.6
r2_383,Loan application rejected,50:32.6,50:32.6
r2_411,Loan  application received,30:00.0,30:00.0
r2_411,Check  application  form completeness,05:55.6,05:55.6
r2_411,Appraise property,06:05.6,06:05.6
r2_411,Check credit history,07:36.7,07:36.7
r2_411,Assess loan risk,14:11.9,14:11.9
r2_411,Assess eligibility,09:21.6,09:21.6
r2_411,Reject application,19:45.2,19:45.2
r2_411,Loan application rejected,19:45.2,19:45.2
r2_125,Loan  application received,30:00.0,30:00.0
r2_125,Check  application  form completeness,03:13.5,03:13.5
r2_125,Return application back to applicant,09:51.4,09:51.4
r2_125,Receive updated application,24:38.6,24:38.6
r2_125,Check  application  form completeness,26:49.8,26:49.8
r2_125,Return application back to applicant,33:28.0,33:28.0
r2_125,Receive updated application,44:17.8,44:17.8
r2_125,Check  application  form completeness,06:34.7,06:34.7
r2_125,Check credit history,55:25.4,55:25.4
r2_125,Appraise property,35:38.5,35:38.5
r2_125,Assess loan risk,58:16.3,58:16.3
r2_125,Assess eligibility,58:55.2,58:55.2
r2_125,Reject application,45:18.1,45:18.1
r2_125,Loan application rejected,45:18.1,45:18.1
r2_305,Loan  application received,30:00.0,30:00.0
r2_305,Check  application  form completeness,58:43.5,58:43.5
r2_305,Appraise property,14:55.9,14:55.9
r2_305,Check credit history,27:07.9,27:07.9
r2_305,Assess loan risk,07:22.0,07:22.0
r2_305,Assess eligibility,23:24.4,23:24.4
r2_305,Prepare acceptance pack,30:49.1,30:49.1
r2_305,Check if home insurance quote is requested,49:58.3,49:58.3
r2_305,Send acceptance pack,06:59.8,06:59.8
r2_305,Verify repayment agreement,51:47.8,51:47.8
r2_305,Cancel application,27:35.8,27:35.8
r2_305,Loan  application canceled,27:35.8,27:35.8
r2_77,Loan  application received,30:00.0,30:00.0
r2_77,Check  application  form completeness,38:24.8,38:24.8
r2_77,Check credit history,56:29.4,56:29.4
r2_77,Appraise property,18:52.4,18:52.4
r2_77,Assess loan risk,32:35.0,32:35.0
r2_77,Assess eligibility,34:18.3,34:18.3
r2_77,Prepare acceptance pack,15:52.4,15:52.4
r2_77,Check if home insurance quote is requested,23:44.5,23:44.5
r2_77,Send home insurance quote,36:26.4,36:26.4
r2_77,Verify repayment agreement,30:17.8,30:17.8
r2_77,Approve application,10:49.0,10:49.0
r2_77,Loan  application approved,10:49.0,10:49.0
r2_111,Loan  application received,30:00.0,30:00.0
r2_111,Check  application  form completeness,36:21.5,36:21.5
r2_111,Check credit history,37:15.3,37:15.3
r2_111,Appraise property,47:48.0,47:48.0
r2_111,Assess loan risk,50:16.5,50:16.5
r2_111,Assess eligibility,50:53.1,50:53.1
r2_111,Prepare acceptance pack,53:12.2,53:12.2
r2_111,Check if home insurance quote is requested,31:17.2,31:17.2
r2_111,Send acceptance pack,02:22.7,02:22.7
r2_111,Verify repayment agreement,13:57.1,13:57.1
r2_111,Cancel application,52:02.1,52:02.1
r2_111,Loan  application canceled,52:02.1,52:02.1
r2_322,Loan  application received,00:00.0,00:00.0
r2_322,Check  application  form completeness,48:29.2,48:29.2
r2_322,Check credit history,21:02.2,21:02.2
r2_322,Appraise property,23:22.3,23:22.3
r2_322,Assess loan risk,36:54.5,36:54.5
r2_322,Assess eligibility,27:04.0,27:04.0
r2_322,Prepare acceptance pack,50:39.7,50:39.7
r2_322,Check if home insurance quote is requested,06:12.3,06:12.3
r2_322,Send home insurance quote,20:42.6,20:42.6
r2_322,Verify repayment agreement,34:21.7,34:21.7
r2_322,Approve application,25:04.0,25:04.0
r2_322,Loan  application approved,25:04.0,25:04.0
r2_483,Loan  application received,30:00.0,30:00.0
r2_483,Check  application  form completeness,30:05.6,30:05.6
r2_483,Check credit history,08:02.6,08:02.6
r2_483,Assess loan risk,50:37.2,50:37.2
r2_483,Appraise property,17:49.1,17:49.1
r2_483,Assess eligibility,46:27.6,46:27.6
r2_483,Reject application,19:45.4,19:45.4
r2_483,Loan application rejected,19:45.4,19:45.4
r2_104,Loan  application received,00:00.0,00:00.0
r2_104,Check  application  form completeness,02:47.0,02:47.0
r2_104,Appraise property,33:44.4,33:44.4
r2_104,Check credit history,18:23.8,18:23.8
r2_104,Assess loan risk,24:43.0,24:43.0
r2_104,Assess eligibility,50:47.0,50:47.0
r2_104,Reject application,51:39.0,51:39.0
r2_104,Loan application rejected,51:39.0,51:39.0
r2_354,Loan  application received,00:00.0,00:00.0
r2_354,Check  application  form completeness,09:47.9,09:47.9
r2_354,Check credit history,15:40.8,15:40.8
r2_354,Appraise property,16:49.4,16:49.4
r2_354,Assess loan risk,40:09.1,40:09.1
r2_354,Assess eligibility,46:46.5,46:46.5
r2_354,Prepare acceptance pack,27:53.0,27:53.0
r2_354,Check if home insurance quote is requested,30:14.1,30:14.1
r2_354,Send acceptance pack,39:29.2,39:29.2
r2_354,Verify repayment agreement,41:44.9,41:44.9
r2_354,Cancel application,55:44.3,55:44.3
r2_354,Loan  application canceled,55:44.3,55:44.3
b3_113,Loan  application received,30:00.0,30:00.0
b3_113,Check  application  form completeness,49:03.3,49:03.3
b3_113,Check credit history,19:05.9,19:05.9
b3_113,Appraise property,22:15.8,22:15.8
b3_113,Assess loan risk,35:17.7,35:17.7
b3_113,Assess eligibility,54:48.4,54:48.4
b3_113,Prepare acceptance pack,16:32.8,16:32.8
b3_113,Check if home insurance quote is requested,32:04.4,32:04.4
b3_113,Send home insurance quote,33:38.4,33:38.4
b3_113,Verify repayment agreement,36:44.2,36:44.2
b3_113,Approve application,23:39.2,23:39.2
b3_113,Loan  application approved,23:39.2,23:39.2
b3_12,Loan  application received,00:00.0,00:00.0
b3_12,Check  application  form completeness,33:38.0,33:38.0
b3_12,Appraise property,49:32.9,49:32.9
b3_12,Check credit history,53:54.8,53:54.8
b3_12,Assess loan risk,42:12.4,42:12.4
b3_12,Assess eligibility,14:07.1,14:07.1
b3_12,Prepare acceptance pack,39:55.2,39:55.2
b3_12,Check if home insurance quote is requested,50:42.6,50:42.6
b3_12,Send acceptance pack,55:40.0,55:40.0
b3_12,Verify repayment agreement,01:24.8,01:24.8
b3_12,Approve application,15:48.1,15:48.1
b3_12,Loan  application approved,15:48.1,15:48.1
b3_84,Loan  application received,00:00.0,00:00.0
b3_84,Check  application  form completeness,06:12.7,06:12.7
b3_84,Return application back to applicant,06:32.8,06:32.8
b3_84,Receive updated application,35:29.1,35:29.1
b3_84,Check  application  form completeness,01:34.7,01:34.7
b3_84,Check credit history,26:48.9,26:48.9
b3_84,Assess loan risk,34:01.6,34:01.6
b3_84,Appraise property,05:45.3,05:45.3
b3_84,Assess eligibility,34:10.5,34:10.5
b3_84,Prepare acceptance pack,40:33.7,40:33.7
b3_84,Check if home insurance quote is requested,41:14.6,41:14.6
b3_84,Send acceptance pack,02:29.6,02:29.6
b3_84,Verify repayment agreement,51:27.5,51:27.5
b3_84,Approve application,00:46.1,00:46.1
b3_84,Loan  application approved,00:46.1,00:46.1
b3_154,Loan  application received,00:00.0,00:00.0
b3_154,Check  application  form completeness,01:10.5,01:10.5
b3_154,Appraise property,11:06.1,11:06.1
b3_154,Check credit history,46:38.2,46:38.2
b3_154,Assess loan risk,49:36.0,49:36.0
b3_154,Assess eligibility,59:02.8,59:02.8
b3_154,Reject application,55:25.2,55:25.2
b3_154,Loan application rejected,55:25.2,55:25.2
b3_2,Loan  application received,00:00.0,00:00.0
b3_2,Check  application  form completeness,30:36.0,30:36.0
b3_2,Appraise property,32:37.6,32:37.6
b3_2,Check credit history,01:49.1,01:49.1
b3_2,Assess loan risk,07:34.7,07:34.7
b3_2,Assess eligibility,49:39.3,49:39.3
b3_2,Prepare acceptance pack,28:46.6,28:46.6
b3_2,Check if home insurance quote is requested,00:36.6,00:36.6
b3_2,Send acceptance pack,14:45.4,14:45.4
b3_2,Verify repayment agreement,32:24.0,32:24.0
b3_2,Approve application,06:20.0,06:20.0
b3_2,Loan  application approved,06:20.0,06:20.0
b3_249,Loan  application received,30:00.0,30:00.0
b3_249,Check  application  form completeness,05:08.6,05:08.6
b3_249,Check credit history,12:47.4,12:47.4
b3_249,Assess loan risk,13:22.9,13:22.9
b3_249,Appraise property,26:48.0,26:48.0
b3_249,Assess eligibility,00:01.5,00:01.5
b3_249,Reject application,33:19.0,33:19.0
b3_249,Loan application rejected,33:19.0,33:19.0
b3_341,Loan  application received,30:00.0,30:00.0
b3_341,Check  application  form completeness,52:57.9,52:57.9
b3_341,Return application back to applicant,57:26.9,57:26.9
b3_341,Receive updated application,04:16.5,04:16.5
b3_341,Check  application  form completeness,19:35.2,19:35.2
b3_341,Check credit history,37:02.9,37:02.9
b3_341,Appraise property,44:35.6,44:35.6
b3_341,Assess loan risk,47:13.8,47:13.8
b3_341,Assess eligibility,02:12.0,02:12.0
b3_341,Prepare acceptance pack,07:09.9,07:09.9
b3_341,Check if home insurance quote is requested,32:59.8,32:59.8
b3_341,Send acceptance pack,49:59.0,49:59.0
b3_341,Verify repayment agreement,08:52.5,08:52.5
b3_341,Approve application,11:05.0,11:05.0
b3_341,Loan  application approved,11:05.0,11:05.0
b3_427,Loan  application received,30:00.0,30:00.0
b3_427,Check  application  form completeness,46:10.9,46:10.9
b3_427,Check credit history,54:22.4,54:22.4
b3_427,Appraise property,07:59.0,07:59.0
b3_427,Assess loan risk,17:52.8,17:52.8
b3_427,Assess eligibility,05:58.4,05:58.4
b3_427,Reject application,48:34.8,48:34.8
b3_427,Loan application rejected,48:34.8,48:34.8
b3_478,Loan  application received,00:00.0,00:00.0
b3_478,Check  application  form completeness,09:27.1,09:27.1
b3_478,Check credit history,33:54.5,33:54.5
b3_478,Appraise property,35:48.7,35:48.7
b3_478,Assess loan risk,01:48.5,01:48.5
b3_478,Assess eligibility,54:34.4,54:34.4
b3_478,Reject application,10:40.8,10:40.8
b3_478,Loan application rejected,10:40.8,10:40.8
b3_15,Loan  application received,30:00.0,30:00.0
b3_15,Check  application  form completeness,39:28.2,39:28.2
b3_15,Check credit history,54:58.0,54:58.0
b3_15,Appraise property,57:06.9,57:06.9
b3_15,Assess loan risk,10:40.8,10:40.8
b3_15,Assess eligibility,26:58.6,26:58.6
b3_15,Reject application,32:12.4,32:12.4
b3_15,Loan application rejected,32:12.4,32:12.4
b3_51,Loan  application received,30:00.0,30:00.0
b3_51,Check  application  form completeness,05:42.4,05:42.4
b3_51,Check credit history,16:01.2,16:01.2
b3_51,Assess loan risk,12:19.5,12:19.5
b3_51,Appraise property,30:11.7,30:11.7
b3_51,Assess eligibility,40:51.4,40:51.4
b3_51,Reject application,39:23.1,39:23.1
b3_51,Loan application rejected,39:23.1,39:23.1
b3_206,Loan  application received,00:00.0,00:00.0
b3_206,Check  application  form completeness,03:29.0,03:29.0
b3_206,Check credit history,04:16.0,04:16.0
b3_206,Appraise property,10:40.4,10:40.4
b3_206,Assess loan risk,28:19.9,28:19.9
b3_206,Assess eligibility,47:08.3,47:08.3
b3_206,Prepare acceptance pack,54:38.3,54:38.3
b3_206,Check if home insurance quote is requested,05:03.7,05:03.7
b3_206,Send acceptance pack,46:31.9,46:31.9
b3_206,Verify repayment agreement,44:47.3,44:47.3
b3_206,Approve application,01:36.6,01:36.6
b3_206,Loan  application approved,01:36.6,01:36.6
b3_210,Loan  application received,00:00.0,00:00.0
b3_210,Check  application  form completeness,07:46.1,07:46.1
b3_210,Appraise property,15:08.0,15:08.0
b3_210,Check credit history,35:09.2,35:09.2
b3_210,Assess loan risk,36:19.8,36:19.8
b3_210,Assess eligibility,37:24.0,37:24.0
b3_210,Reject application,22:46.0,22:46.0
b3_210,Loan application rejected,22:46.0,22:46.0
b3_425,Loan  application received,30:00.0,30:00.0
b3_425,Check  application  form completeness,05:14.8,05:14.8
b3_425,Return application back to applicant,03:12.1,03:12.1
b3_425,Receive updated application,06:38.7,06:38.7
b3_425,Check  application  form completeness,16:10.1,16:10.1
b3_425,Check credit history,26:25.5,26:25.5
b3_425,Appraise property,33:38.1,33:38.1
b3_425,Assess loan risk,42:40.1,42:40.1
b3_425,Assess eligibility,52:20.0,52:20.0
b3_425,Reject application,09:43.1,09:43.1
b3_425,Loan application rejected,09:43.1,09:43.1
b3_100,Loan  application received,00:00.0,00:00.0
b3_100,Check  application  form completeness,48:49.1,48:49.1
b3_100,Appraise property,20:12.4,20:12.4
b3_100,Check credit history,51:10.0,51:10.0
b3_100,Assess loan risk,19:18.3,19:18.3
b3_100,Assess eligibility,36:35.7,36:35.7
b3_100,Reject application,36:59.6,36:59.6
b3_100,Loan application rejected,36:59.6,36:59.6
b3_95,Loan  application received,30:00.0,30:00.0
b3_95,Check  application  form completeness,44:44.7,44:44.7
b3_95,Check credit history,52:23.5,52:23.5
b3_95,Appraise property,09:49.3,09:49.3
b3_95,Assess loan risk,51:13.2,51:13.2
b3_95,Assess eligibility,29:23.3,29:23.3
b3_95,Reject application,31:38.9,31:38.9
b3_95,Loan application rejected,31:38.9,31:38.9
b3_497,Loan  application received,30:00.0,30:00.0
b3_497,Check  application  form completeness,48:59.7,48:59.7
b3_497,Return application back to applicant,07:26.3,07:26.3
b3_497,Receive updated application,26:49.5,26:49.5
b3_497,Check  application  form completeness,04:28.0,04:28.0
b3_497,Appraise property,57:19.7,57:19.7
b3_497,Check credit history,38:01.7,38:01.7
b3_497,Assess loan risk,24:37.2,24:37.2
b3_497,Assess eligibility,57:24.2,57:24.2
b3_497,Reject application,22:55.6,22:55.6
b3_497,Loan application rejected,22:55.6,22:55.6
b3_431,Loan  application received,30:00.0,30:00.0
b3_431,Check  application  form completeness,36:29.7,36:29.7
b3_431,Check credit history,47:09.3,47:09.3
b3_431,Assess loan risk,50:41.7,50:41.7
b3_431,Appraise property,19:33.2,19:33.2
b3_431,Assess eligibility,56:28.5,56:28.5
b3_431,Prepare acceptance pack,19:21.9,19:21.9
b3_431,Check if home insurance quote is requested,43:22.8,43:22.8
b3_431,Send acceptance pack,11:02.7,11:02.7
b3_431,Verify repayment agreement,55:58.9,55:58.9
b3_431,Approve application,05:01.1,05:01.1
b3_431,Loan  application approved,05:01.1,05:01.1
b3_20,Loan  application received,00:00.0,00:00.0
b3_20,Check  application  form completeness,33:03.3,33:03.3
b3_20,Appraise property,16:10.1,16:10.1
b3_20,Check credit history,17:19.7,17:19.7
b3_20,Assess loan risk,24:21.7,24:21.7
b3_20,Assess eligibility,50:40.3,50:40.3
b3_20,Prepare acceptance pack,49:20.0,49:20.0
b3_20,Check if home insurance quote is requested,53:04.6,53:04.6
b3_20,Send home insurance quote,14:31.5,14:31.5
b3_20,Verify repayment agreement,36:13.1,36:13.1
b3_20,Cancel application,18:54.5,18:54.5
b3_20,Loan  application canceled,18:54.5,18:54.5
b3_283,Loan  application received,30:00.0,30:00.0
b3_283,Check  application  form completeness,01:44.4,01:44.4
b3_283,Return application back to applicant,07:49.7,07:49.7
b3_283,Receive updated application,58:39.5,58:39.5
b3_283,Check  application  form completeness,03:23.6,03:23.6
b3_283,Check credit history,03:34.8,03:34.8
b3_283,Appraise property,17:15.5,17:15.5
b3_283,Assess loan risk,21:24.4,21:24.4
b3_283,Assess eligibility,02:22.5,02:22.5
b3_283,Prepare acceptance pack,35:09.7,35:09.7
b3_283,Check if home insurance quote is requested,01:24.4,01:24.4
b3_283,Send home insurance quote,10:05.1,10:05.1
b3_283,Verify repayment agreement,50:04.9,50:04.9
b3_283,Approve application,55:02.5,55:02.5
b3_283,Loan  application approved,55:02.5,55:02.5
b3_388,Loan  application received,00:00.0,00:00.0
b3_388,Check  application  form completeness,50:31.2,50:31.2
b3_388,Check credit history,07:57.6,07:57.6
b3_388,Assess loan risk,24:16.9,24:16.9
b3_388,Appraise property,28:32.8,28:32.8
b3_388,Assess eligibility,47:10.6,47:10.6
b3_388,Reject application,50:32.0,50:32.0
b3_388,Loan application rejected,50:32.0,50:32.0
b3_88,Loan  application received,00:00.0,00:00.0
b3_88,Check  application  form completeness,17:59.9,17:59.9
b3_88,Return application back to applicant,42:04.3,42:04.3
b3_88,Receive updated application,16:06.6,16:06.6
b3_88,Check  application  form completeness,14:04.7,14:04.7
b3_88,Appraise property,23:16.9,23:16.9
b3_88,Check credit history,44:34.9,44:34.9
b3_88,Assess loan risk,45:22.0,45:22.0
b3_88,Assess eligibility,57:48.2,57:48.2
b3_88,Prepare acceptance pack,00:18.7,00:18.7
b3_88,Check if home insurance quote is requested,15:47.9,15:47.9
b3_88,Send acceptance pack,20:41.4,20:41.4
b3_88,Verify repayment agreement,02:24.1,02:24.1
b3_88,Approve application,33:16.9,33:16.9
b3_88,Loan  application approved,33:16.9,33:16.9
b3_313,Loan  application received,30:00.0,30:00.0
b3_313,Check  application  form completeness,36:15.5,36:15.5
b3_313,Check credit history,46:00.4,46:00.4
b3_313,Assess loan risk,00:32.2,00:32.2
b3_313,Appraise property,08:06.7,08:06.7
b3_313,Assess eligibility,44:42.5,44:42.5
b3_313,Reject application,58:10.8,58:10.8
b3_313,Loan application rejected,58:10.8,58:10.8
b3_366,Loan  application received,00:00.0,00:00.0
b3_366,Check  application  form completeness,02:06.6,02:06.6
b3_366,Appraise property,17:45.4,17:45.4
b3_366,Check credit history,17:46.8,17:46.8
b3_366,Assess loan risk,27:46.3,27:46.3
b3_366,Assess eligibility,46:42.7,46:42.7
b3_366,Prepare acceptance pack,56:49.5,56:49.5
b3_366,Check if home insurance quote is requested,58:50.0,58:50.0
b3_366,Send home insurance quote,04:56.9,04:56.9
b3_366,Verify repayment agreement,06:30.9,06:30.9
b3_366,Approve application,29:02.4,29:02.4
b3_366,Loan  application approved,29:02.4,29:02.4
b3_351,Loan  application received,30:00.0,30:00.0
b3_351,Check  application  form completeness,49:10.0,49:10.0
b3_351,Check credit history,03:01.9,03:01.9
b3_351,Appraise property,13:44.1,13:44.1
b3_351,Assess loan risk,22:39.2,22:39.2
b3_351,Assess eligibility,12:59.5,12:59.5
b3_351,Prepare acceptance pack,16:41.0,16:41.0
b3_351,Check if home insurance quote is requested,19:38.1,19:38.1
b3_351,Send home insurance quote,33:19.5,33:19.5
b3_351,Verify repayment agreement,05:16.2,05:16.2
b3_351,Approve application,14:34.7,14:34.7
b3_351,Loan  application approved,14:34.7,14:34.7
b3_227,Loan  application received,30:00.0,30:00.0
b3_227,Check  application  form completeness,34:09.6,34:09.6
b3_227,Appraise property,54:09.4,54:09.4
b3_227,Check credit history,57:49.2,57:49.2
b3_227,Assess loan risk,16:44.2,16:44.2
b3_227,Assess eligibility,57:43.7,57:43.7
b3_227,Reject application,39:22.8,39:22.8
b3_227,Loan application rejected,39:22.8,39:22.8
b3_346,Loan  application received,00:00.0,00:00.0
b3_346,Check  application  form completeness,28:55.6,28:55.6
b3_346,Appraise property,44:51.8,44:51.8
b3_346,Check credit history,53:13.0,53:13.0
b3_346,Assess loan risk,32:42.1,32:42.1
b3_346,Assess eligibility,53:42.3,53:42.3
b3_346,Prepare acceptance pack,33:55.0,33:55.0
b3_346,Check if home insurance quote is requested,43:42.6,43:42.6
b3_346,Send acceptance pack,50:31.1,50:31.1
b3_346,Verify repayment agreement,10:20.9,10:20.9
b3_346,Cancel application,19:46.5,19:46.5
b3_346,Loan  application canceled,19:46.5,19:46.5
b3_404,Loan  application received,00:00.0,00:00.0
b3_404,Check  application  form completeness,07:54.7,07:54.7
b3_404,Check credit history,41:41.3,41:41.3
b3_404,Assess loan risk,11:26.3,11:26.3
b3_404,Appraise property,40:55.8,40:55.8
b3_404,Assess eligibility,05:51.6,05:51.6
b3_404,Prepare acceptance pack,53:21.1,53:21.1
b3_404,Check if home insurance quote is requested,59:06.9,59:06.9
b3_404,Send home insurance quote,19:04.5,19:04.5
b3_404,Verify repayment agreement,12:39.5,12:39.5
b3_404,Cancel application,17:14.6,17:14.6
b3_404,Loan  application canceled,17:14.6,17:14.6
b3_254,Loan  application received,00:00.0,00:00.0
b3_254,Check  application  form completeness,20:49.9,20:49.9
b3_254,Appraise property,20:54.6,20:54.6
b3_254,Check credit history,11:44.4,11:44.4
b3_254,Assess loan risk,58:53.7,58:53.7
b3_254,Assess eligibility,02:58.9,02:58.9
b3_254,Prepare acceptance pack,14:53.2,14:53.2
b3_254,Check if home insurance quote is requested,33:02.0,33:02.0
b3_254,Send acceptance pack,59:13.6,59:13.6
b3_254,Verify repayment agreement,16:39.2,16:39.2
b3_254,Cancel application,07:31.8,07:31.8
b3_254,Loan  application canceled,07:31.8,07:31.8
b3_467,Loan  application received,30:00.0,30:00.0
b3_467,Check  application  form completeness,36:01.2,36:01.2
b3_467,Check credit history,39:40.0,39:40.0
b3_467,Assess loan risk,59:15.4,59:15.4
b3_467,Appraise property,22:04.7,22:04.7
b3_467,Assess eligibility,27:09.9,27:09.9
b3_467,Prepare acceptance pack,57:39.7,57:39.7
b3_467,Check if home insurance quote is requested,01:17.1,01:17.1
b3_467,Send home insurance quote,25:19.5,25:19.5
b3_467,Verify repayment agreement,21:05.4,21:05.4
b3_467,Cancel application,50:20.0,50:20.0
b3_467,Loan  application canceled,50:20.0,50:20.0
b3_19,Loan  application received,30:00.0,30:00.0
b3_19,Check  application  form completeness,23:04.0,23:04.0
b3_19,Appraise property,34:14.6,34:14.6
b3_19,Check credit history,21:58.5,21:58.5
b3_19,Assess loan risk,49:22.3,49:22.3
b3_19,Assess eligibility,13:26.4,13:26.4
b3_19,Reject application,50:59.3,50:59.3
b3_19,Loan application rejected,50:59.3,50:59.3
b3_239,Loan  application received,30:00.0,30:00.0
b3_239,Check  application  form completeness,32:29.3,32:29.3
b3_239,Check credit history,52:52.1,52:52.1
b3_239,Appraise property,00:12.3,00:12.3
b3_239,Assess loan risk,21:43.3,21:43.3
b3_239,Assess eligibility,28:06.2,28:06.2
b3_239,Reject application,55:00.6,55:00.6
b3_239,Loan application rejected,55:00.6,55:00.6
b3_492,Loan  application received,00:00.0,00:00.0
b3_492,Check  application  form completeness,18:58.7,18:58.7
b3_492,Check credit history,43:14.2,43:14.2
b3_492,Appraise property,49:59.5,49:59.5
b3_492,Assess loan risk,30:46.5,30:46.5
b3_492,Assess eligibility,07:45.7,07:45.7
b3_492,Prepare acceptance pack,34:27.9,34:27.9
b3_492,Check if home insurance quote is requested,03:17.9,03:17.9
b3_492,Send home insurance quote,17:37.7,17:37.7
b3_492,Verify repayment agreement,59:08.9,59:08.9
b3_492,Cancel application,25:06.2,25:06.2
b3_492,Loan  application canceled,25:06.2,25:06.2
b3_139,Loan  application received,30:00.0,30:00.0
b3_139,Check  application  form completeness,14:26.3,14:26.3
b3_139,Check credit history,27:28.1,27:28.1
b3_139,Assess loan risk,33:11.2,33:11.2
b3_139,Appraise property,33:59.6,33:59.6
b3_139,Assess eligibility,37:16.3,37:16.3
b3_139,Prepare acceptance pack,49:42.7,49:42.7
b3_139,Check if home insurance quote is requested,44:51.4,44:51.4
b3_139,Send acceptance pack,02:09.1,02:09.1
b3_139,Verify repayment agreement,21:48.4,21:48.4
b3_139,Cancel application,19:11.5,19:11.5
b3_139,Loan  application canceled,19:11.5,19:11.5
b3_97,Loan  application received,30:00.0,30:00.0
b3_97,Check  application  form completeness,59:49.4,59:49.4
b3_97,Check credit history,15:58.0,15:58.0
b3_97,Assess loan risk,20:22.6,20:22.6
